Year	Generated	Disposed	Recycled	Recycle Rate
2000	70,944	58,333	12,611	17.8%
2001	68,611	53,487	15,124	22.0%
2002	70,144	55,076	15,068	21.5%
2003	72,149	56,106	16,043	22.2%
2004	72,640	56,498	16,142	22.2%
2005	72,325	54,080	18,245	25.2%
2006	75,545	55,643	19,903	26.3%
2007	77,108	55,847	21,261	27.6%
2008	74,223	53,199	21,024	28.3%
2009	70,524	51,497	19,028	27.0%
2010	70,675	49,788	20,887	29.6%
2011	70,145	49,993	20,152	28.7%
2012	74,532	50,497	24,035	32.2%
2013	76,970	50,547	26,423	34.3%
2014	80,189	52,439	27,750	34.6%
2015	78,278	49,443	28,835	36.8%
