City Feature	Common Name	Address	Website	Longitude	Latitude
Transfer Stations	North Recycling\& Disposal Station	1350 N 34TH ST	http://www.seattle.gov/util/Services/Garbage/Recycling_&_Disposal_Stations/DirectionstoNorthStation/index.htm	-122.342271	47.648561
Transfer Stations	South Household\Hazardous\Waste Facility	8105 5th Ave S	http://www.seattle.gov/util/Services/Garbage/SpecialorHazardousItems/HouseholdHazardousWaste/index.htm	-122.330932	47.531341
Transfer Stations	South Recycling\& Disposal Station	8105 5th Ave S	http://www.seattle.gov/util/Services/Garbage/Recycling_&_Disposal_Stations/DirectionstoSouthStation/index.htm	-122.330852	47.530415
Transfer Stations	Aurora Household\Hazardous\Waste Facility	12500 STONE WAY N	http://www.seattle.gov/util/Services/Garbage/SpecialorHazardousItems/HouseholdHazardousWaste/index.htm	-122.344463	47.718645
