MSW Materials Recovered for Recycling (tons)	Nonferrous Metals	80	54400	68590	77907	82536	57284	71079	99827	31559	75926	45568	55384.618065863615	30956.26005143649	51273.4	41615.18	61240.23	114604.4	99317	122490.3311267998	135976.49980245344	115718.27339999998	94340.109	142930.96	123679.99450000003	146163.64	121710.988	175791.9	195254
MSW Materials Recovered for Recycling (tons)	Other Recyclable Plastics	349	600	120	3756	5256	396	5075	11693	2542	1642	13945	1608.605002656579	3971.2400177121162	6512.3	4067.44	949.27	3482.18	7783	7247.276006832602	7775.600042937323	12350.157099999995	11244.91	12523.93	13009.374999999998	18194.31	18366.583	15910.3	12918.98
MSW Materials Recovered for Recycling (tons)	PET Plastic Bottles	0	200	220	606	1263	1762	1982	3502	4955	3853	4965	3031.4869939871132	2910.5134983918397	5099.51	4661.45	5885.91	6060.36	6748	8534.140034234151	7558.47997806102	14024.19	9827.02	16766.79	15803.223000000002	16986.32	18829.874	24029.02	22360.38
MSW Materials Recovered for Recycling (tons)	Photographic Films	0	0	0	12	21	9	468	23	20	3	22	0	81	6	87.24	516.77	530.47	522	487.4199983589351	457.62001053616405	429.39	441.85	354.39	433.47	2073.67	116.91	88.3	0
MSW Materials Recovered for Recycling (tons)	Refillable Glass Beer Bottles	29480	19600	27530	2893	2927	492	432	573	3278	2579	633	261.19999504089355	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSW Materials Recovered for Recycling (tons)	Rubber Materials	0	0	0	0	0	0	0	0	0	0	0	0	0	55	373.6	165.59	4.94	12	0	39.34000015258789	50.129999999999995	6	8.16	10.1	0	0	0	0
MSW Materials Recovered for Recycling (tons)	Steel Cans	752	1600	2720	11895	13170	16720	17256	18519	13223	12786	15149	13003.370975039783	12339.606993911788	22631.93	11483.1	9417.13	9491.62	10082	12132.880030661821	13936.079973092377	22315.047000000002	10525.92	17293.11	15059.515	17975.36	15305.54	19552.34	17325.67
MSW Materials Recovered for Recycling (tons)	Textiles (Rags, clothing, etc.)	0	0	6750	10366	8755	10061	15360	12440	13022	9186	11046	3979.4979858398438	12524.570092201233	15961	10126.75	9440.01	15496.98	28927	28749.729952335358	28724.27009282261	65286.16	19945.855	16444.52	24976.431	25579.52	41687.888	17470.31	24612.78
MSW Materials Recovered for Recycling (tons)	Tires (Recycled)	0	20000	13400	1779	15448	12784	31248	53119	6575	7043	5520	2106.3999996185303	1514	12218.4	10305.89	27102.05	27752.89	37568	53777.01972799376	23528.07018814981	27868.974400100007	40123.7533	35439.26	26775.307499999995	25677.79	25755.86	20951.19	24291.54
MSW Materials Recovered for Recycling (tons)	Used Oil	2.8	1731	1541	1140	40600	1845	1835	2050	961	6141	7299	41162.35508590937	6352	8353	38288.32	43367.24	56343.91	104211	111692.09281379683	87304.12035630643	86173.59000000003	78442.8022	110037.5	71724.98800000001	76611.66	74113.52	54936.26	69456.72
