OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
38	47.68310758500007	-122.39191216799998	(47.68310758500007, -122.39191216799998)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2806	4544.98	824717.19
39	47.68256023600003	-122.34989091099999	(47.68256023600003, -122.34989091099999)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1812	4648.21	837961.68
40	47.68168313800004	-122.39300788799994	(47.68168313800004, -122.39300788799994)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2807	6245.88	1648374.47
41	47.681325093000055	-122.38214922499998	(47.681325093000055, -122.38214922499998)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2805	4244.63	918406.06
42	47.679540856000074	-122.37149265399995	(47.679540856000074, -122.37149265399995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1809	4110.15	869690.98
43	47.67956030700003	-122.36046912299997	(47.67956030700003, -122.36046912299997)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1810	3861.36	762508.63
44	47.678682491000075	-122.34549882899995	(47.678682491000075, -122.34549882899995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1811	4265.47	997146.21
45	47.67662034700004	-122.39295998299997	(47.67662034700004, -122.39295998299997)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2803	5895.73	1394448.94
46	47.675948478000066	-122.38758467699995	(47.675948478000066, -122.38758467699995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2802	6534.42	1675375.02
47	47.67599157300003	-122.36352747899997	(47.67599157300003, -122.36352747899997)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1807	5059.42	966962.65
48	47.675963713000044	-122.33084602799994	(47.675963713000044, -122.33084602799994)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5806	4082.51	847324.26
49	47.675858230000074	-122.32078248699997	(47.675858230000074, -122.32078248699997)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5804	3821.53	823314.88
