•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
181	"(47.704677899000046, -122.30228511399997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	THU	4324B	"6,695.78"	"1,533,640.99"
182	"(47.67572243300003, -122.26354490599999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	MON	1321B	"5,376.27"	"1,399,356.05"
183	"(47.63654872800004, -122.31045625799999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3343B	"5,133.16"	"1,162,518.85"
184	"(47.63717010800008, -122.35828164099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2344A	"4,566.97"	"957,618.48"
185	"(47.73197664400004, -122.29654252699999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	FRI	5321A	"6,184.78"	"1,655,621.12"
186	"(47.69551282600003, -122.27821381199999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	WED	3322B	"8,031.73"	"1,636,403.03"
187	"(47.679412856000056, -122.29742852699997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	TUE	2324B	"4,485.43"	"956,062.33"
188	"(47.692149907000044, -122.31081124999997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4326A	"3,935.21"	"532,658.26"
189	"(47.64867041200006, -122.39010585699998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	MON	1344A	"5,130.58"	"1,088,933.75"
190	"(47.70868199800003, -122.30371585499995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	THU	4322B	"4,897.58"	"1,500,610.27"
191	"(47.71958366900003, -122.31768017299999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	THU	4323B	"4,709.89"	"1,262,002.38"
192	"(47.71506175400003, -122.28058917499999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5321B	"6,943.79"	"1,172,915.87"
193	"(47.64022642600003, -122.35824660799994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2346A	"4,274.26"	"756,861.91"
194	"(47.639596562000065, -122.370302703)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2341A	"4,082.14"	"710,033.47"
195	"(47.72655501600008, -122.30148784)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	FRI	5324A	"5,823.43"	"1,596,067.20"
196	"(47.62309531600005, -122.28650003199999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4342B	"5,605.61"	"1,042,860.35"
197	"(47.642997130000026, -122.34706518599995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2345A	"4,714.98"	"920,846.99"
198	"(47.60901630500007, -122.30146396099997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5345A	"6,280.34"	"1,125,755.64"
199	"(47.648460888000045, -122.38201044999994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	MON	1345A	"4,485.72"	"1,012,027.25"
200	"(47.60803125900003, -122.30893028999998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5341A	"4,621.70"	"1,319,895.18"
201	"(47.66359155500004, -122.39948510599999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2342B	"6,010.64"	"1,147,066.09"
202	"(47.673984748000066, -122.29025427299996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	TUE	2321A	"6,021.85"	"1,320,819.80"
203	"(47.68895390400007, -122.322980772)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4322A	"6,553.20"	"1,860,133.25"
204	"(47.70837030700005, -122.29076245399995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	WED	3321A	"6,554.56"	"2,145,974.33"
205	"(47.61893395100003, -122.30255086699998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4341B	"5,635.49"	"1,087,824.66"
206	"(47.668511317000025, -122.28908094299999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	TUE	2324A	"4,443.85"	"983,866.72"
207	"(47.68678229600005, -122.32632905999998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	TUE	2323B	"6,472.90"	"1,631,242.08"
208	"(47.65045564900004, -122.40575072799999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1346B	"5,609.63"	"920,009.60"
209	"(47.713978489000056, -122.31249466799994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	THU	4321B	"5,345.24"	"1,557,615.43"
210	"(47.67397014200003, -122.29747920299997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	TUE	2323A	"4,771.95"	"896,372.15"
211	"(47.67941564300003, -122.29037608499999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	TUE	2322A	"5,270.68"	"1,166,866.13"
212	"(47.610022987000036, -122.30276098899998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5346A	"4,524.78"	"790,027.13"
213	"(47.69402792300008, -122.32032038499995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4323A	"7,891.48"	"2,088,497.32"
214	"(47.73399167200006, -122.31636487099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	FRI	5322A	"8,472.92"	"3,157,706.51"
215	"(47.66943376900008, -122.31552882799997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1321A	"5,475.62"	"1,195,762.94"
216	"(47.677635019000036, -122.30170694699996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	TUE	2322B	"4,704.97"	"872,050.03"
217	"(47.64864618000007, -122.39290049899995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	MON	1343A	"5,978.26"	"1,069,772.27"
218	"(47.686674347000064, -122.30086905299999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	TUE	2321B	"5,732.49"	"1,159,686.65"
219	"(47.64847152300007, -122.37488601599995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2343A	"7,661.29"	"1,349,398.38"
220	"(47.64681259900004, -122.40467786399995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1341B	"4,599.05"	"945,792.71"
221	"(47.63955913800004, -122.39698741199999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1342B	"6,562.66"	"1,232,250.00"
222	"(47.72972151100004, -122.28232631699996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5320B	"1,379.18"	"90,802.74"
223	"(47.610022987000036, -122.30276098899998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	FRI	5344A	"5,916.13"	"1,415,512.70"
224	"(47.690185272000065, -122.28533687599997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	WED	3322A	"7,910.22"	"1,315,588.58"
225	"(47.71188529400007, -122.28528882199998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5322B	"6,370.91"	"1,235,950.01"
226	"(47.663027174000035, -122.28477360199997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	MON	1323B	"9,073.31"	"1,595,287.23"
227	"(47.63496681700008, -122.34351477299998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3343A	"8,738.92"	"2,963,427.53"
228	"(47.67214780100005, -122.28486339399996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	TUE	2325A	"4,794.47"	"1,075,230.38"
229	"(47.59552683000004, -122.29757099399995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	FRI	5342B	"4,347.54"	"837,775.71"
230	"(47.63532641900008, -122.30556360099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3345B	"5,815.12"	"1,114,062.95"
231	"(47.62869637000006, -122.29567209999999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4345A	"4,642.33"	"930,038.22"
232	"(47.714045715000054, -122.32343391599994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	THU	4325B	"7,289.09"	"1,971,287.49"
233	"(47.730135680000046, -122.30114916199994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	FRI	5325A	"6,158.64"	"1,341,884.27"
234	"(47.717373519000034, -122.28335347399997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5325B	"5,630.97"	"1,026,045.97"
235	"(47.69020300900007, -122.29071387399995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	WED	3324A	"5,948.77"	"1,431,506.19"
236	"(47.68372578100008, -122.26988960199998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	WED	3321B	"5,832.70"	"1,812,335.98"
237	"(47.66943376900008, -122.31552882799997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1324A	"4,743.18"	"1,231,569.75"
238	"(47.65665752500007, -122.38746147299997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	MON	1342A	"5,703.10"	"1,300,527.01"
239	"(47.61761525800006, -122.29483735099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4346B	"3,530.11"	"542,124.08"
240	"(47.62916597700007, -122.29972427799999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4346A	"4,272.55"	"344,414.48"
241	"(47.643241180000075, -122.35450999899996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2341B	"6,092.01"	"1,075,537.53"
242	"(47.69393090800003, -122.30552016399997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4324A	"5,679.65"	"1,131,782.38"
243	"(47.72641678400004, -122.28643601299996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	FRI	5323A	"7,519.92"	"2,021,749.65"
244	"(47.61289737800007, -122.29036042499996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4343B	"5,011.80"	"991,139.02"
245	"(47.63630604200006, -122.403725512)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1345B	"6,277.47"	"1,077,513.22"
246	"(47.71018047700005, -122.29070599399995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	WED	3325A	"6,003.01"	"1,689,031.76"
247	"(47.63400842200008, -122.34834447799994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3342A	"3,633.70"	"703,384.95"
248	"(47.62865078200008, -122.30355183599994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3341B	"4,724.20"	"1,049,147.09"
249	"(47.730748911000035, -122.28453544899997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5320B	383.286059	0
250	"(47.608003118000056, -122.29994429599998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	FRI	5345B	"6,251.95"	"1,017,862.76"
251	"(47.68072348100003, -122.27967489299999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	WED	3323B	"5,541.41"	"1,188,598.04"
252	"(47.72972151100004, -122.28232631699996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5324B	"9,498.38"	"1,803,361.33"
253	"(47.620150489000025, -122.29122622799997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	THU	4345B	"4,382.23"	"747,112.85"
254	"(47.67577414200008, -122.30095518599995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1323A	"5,979.66"	"1,235,656.47"
255	"(47.70401193400005, -122.31777241599997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4321A	"4,515.01"	"959,111.13"
256	"(47.70468302200004, -122.28241324299995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5323B	"5,187.64"	"1,140,693.86"
257	"(47.69493921600008, -122.32032311899997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	THU	4325A	"5,147.08"	"1,143,185.79"
258	"(47.62652224500005, -122.31626219099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3344B	"5,049.46"	"1,322,742.09"
259	"(47.612916151000036, -122.29141225799998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	FRI	5341B	"3,855.30"	"907,274.47"
260	"(47.63597555400003, -122.32248465099997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3346B	"7,093.94"	"1,943,016.19"
261	"(47.69005300400005, -122.27851392299999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	WED	3325B	"6,606.90"	"1,451,295.50"
262	"(47.71223495000004, -122.28451714199997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5326B	"6,701.74"	"1,163,999.56"
263	"(47.65554219200004, -122.36598147799998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2346B	"7,804.81"	"1,718,927.50"
264	"(47.65409115700004, -122.40894957199998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1343B	"10,993.72"	"2,314,495.96"
265	"(47.66126482900006, -122.28475466799995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	MON	1325B	"6,145.63"	"1,696,113.53"
266	"(47.643313438000064, -122.31129795999999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	WED	3342B	"6,446.86"	"1,551,742.25"
267	"(47.68842542300007, -122.26249359599996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	S	WED	MAGNUS	"8,336.83"	"3,647,337.45"
268	"(47.664727835000065, -122.26854682999999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	MON	1324B	"7,359.43"	"2,591,694.07"
269	"(47.692335101000026, -122.26757519799997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	WED	3324B	"10,249.78"	"2,232,108.85"
270	"(47.60681699100007, -122.28606188899994)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	FRI	5344B	"5,777.45"	"1,264,315.38"
271	"(47.65046306100004, -122.36483772599996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	TUE	2343B	"10,942.45"	"2,053,014.42"
272	"(47.636264408000045, -122.39304443099996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	B	MON	1344B	"4,807.87"	"1,300,347.36"
273	"(47.63496681700008, -122.34351477299998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3341A	"7,508.40"	"1,079,095.98"
274	"(47.712470746000065, -122.27703766799999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	FRI	5320B	"13,888.03"	"808,042.29"
275	"(47.65841637200003, -122.28275207499996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	B	MON	1322B	"6,408.65"	"1,510,135.28"
276	"(47.654854810000074, -122.28370286299997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1322A	"5,705.85"	"1,324,949.03"
277	"(47.636936105000075, -122.276165231)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4341A	"5,185.45"	"1,583,941.44"
278	"(47.52735400600005, -122.31478155799999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3831	"7,343.27"	"1,846,018.83"
279	"(47.68679382800008, -122.32635172599998)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5803	"6,219.64"	"1,341,744.10"
280	"(47.61864936400008, -122.36237716299996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	N	COM	COM	"12,001.88"	"6,878,426.86"
281	"(47.647845827000026, -122.28554417999999)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4344A	"13,007.43"	"4,402,261.39"
282	"(47.633229766000056, -122.27575491699997)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	THU	4343A	"10,086.01"	"2,158,869.12"
283	"(47.63232416400007, -122.36175037299995)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	TUE	2342A	"10,395.30"	"4,252,122.78"
284	"(47.60173103500006, -122.34174968999997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	A	FRI	5897	"7,586.35"	"3,658,429.63"
285	"(47.63226403500005, -122.33432722699996)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	3	A	WED	3346A	"16,568.86"	"7,614,787.15"
286	"(47.523333998000055, -122.25848498099998)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	FRI	5835	"15,079.29"	"3,176,027.19"
287	"(47.52735400600005, -122.31478155799999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3832	"4,284.61"	"798,077.70"
288	"(47.66216085500008, -122.29362148299998)"	G2	RECOLOGY	RECOLOGY CLEANSCAPES	2	A	MON	1326A	"19,111.42"	"7,672,565.20"
