•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
42	"(47.679540856000074, -122.37149265399995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1809	"4,110.15"	"869,690.98"
43	"(47.67956030700003, -122.36046912299997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1810	"3,861.36"	"762,508.63"
44	"(47.678682491000075, -122.34549882899995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	MON	1811	"4,265.47"	"997,146.21"
45	"(47.67662034700004, -122.39295998299997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2803	"5,895.73"	"1,394,448.94"
46	"(47.675948478000066, -122.38758467699995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	TUE	2802	"6,534.42"	"1,675,375.02"
47	"(47.67599157300003, -122.36352747899997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1807	"5,059.42"	"966,962.65"
48	"(47.675963713000044, -122.33084602799994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5806	"4,082.51"	"847,324.26"
49	"(47.675858230000074, -122.32078248699997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5804	"3,821.53"	"823,314.88"
50	"(47.671151433000034, -122.35438993199995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1805	"4,387.68"	"960,753.02"
51	"(47.67076511400006, -122.32187386899994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5805	"4,062.62"	"896,211.31"
52	"(47.67088988800003, -122.36617381899998)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1806	"4,816.42"	"1,273,831.72"
53	"(47.66938159000006, -122.33050923099995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	FRI	5807	"3,815.93"	"770,661.22"
54	"(47.668650641000056, -122.36220415699995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1803	"7,046.51"	"2,050,736.70"
55	"(47.66500909800004, -122.34731122699998)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	MON	1804	"4,210.99"	"1,008,176.50"
56	"(47.66503444500006, -122.34020752699996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5809	"4,398.59"	"1,163,229.48"
57	"(47.66500265900004, -122.32826780899995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5808	"4,360.47"	"953,873.57"
58	"(47.661329015000035, -122.32228554299996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5810	"4,281.13"	"896,155.89"
59	"(47.65918324300003, -122.34225647399995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5812	"7,595.17"	"2,019,593.01"
60	"(47.659152204000065, -122.33620820399994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5811	"5,654.07"	"978,607.50"
61	"(47.655512531000056, -122.32237869399995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	FRI	5813	"5,338.21"	"915,642.71"
62	"(47.59417261500005, -122.38353247599997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1837	"11,130.25"	"3,577,019.53"
63	"(47.59417261500005, -122.38353247599997)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1831	"13,029.80"	"2,284,412.92"
64	"(47.581195336000064, -122.38654570399996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1836	"5,670.65"	"1,248,488.10"
65	"(47.58270369600007, -122.40207367599999)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1834	"8,631.93"	"2,959,588.36"
66	"(47.58589853800004, -122.28915288499996)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	THU	4830	"5,364.85"	"1,406,453.86"
67	"(47.58652986200008, -122.37864492999995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	MON	1830	"8,113.15"	"1,820,411.89"
68	"(47.584536273000026, -122.31811904499995)"	G1	WASTEMGT	WASTE MANAGEMENT	4	B	WED	3833	"8,513.27"	"1,559,875.13"
